N,iterations
5.00000000000000e+00,8.00000000000000e+01
1.00000000000000e+01,1.78000000000000e+02
1.50000000000000e+01,5.40000000000000e+02
2.00000000000000e+01,1.20800000000000e+03
2.50000000000000e+01,2.27700000000000e+03
3.00000000000000e+01,3.82100000000000e+03
3.50000000000000e+01,5.96700000000000e+03
4.00000000000000e+01,8.76900000000000e+03
4.50000000000000e+01,1.23040000000000e+04
5.00000000000000e+01,1.66530000000000e+04
5.50000000000000e+01,2.19190000000000e+04
6.00000000000000e+01,2.82060000000000e+04
6.50000000000000e+01,3.56650000000000e+04
7.00000000000000e+01,4.43020000000000e+04
7.50000000000000e+01,5.42000000000000e+04
